제목,링크
"강남파이썬학원, 디자인 전공자가 웹프로그래머로 전직을 하다!",https://blog.naver.com/job_story1?Redirect=Log&logNo=221770079660,파이썬 : Pygame으로 Ping Pong 게임 만들기 따라하기,https://cosmosjs.blog.me/221719238699,파이썬 학원 기본부터 차근차근!,https://blog.naver.com/soonsooya21?Redirect=Log&logNo=221778055716,파이썬 프로그래밍 - 개발 범위,https://blog.naver.com/urmyver?Redirect=Log&logNo=221670828962,pyCharm - 파이썬 IDE,https://blog.naver.com/tommybee?Redirect=Log&logNo=221762128570,파이썬학원 기초 문법부터 심화까지 1달완성 교육기관!,https://blog.naver.com/ridesafe?Redirect=Log&logNo=221643768938,라즈베리파이에서 파이썬으로 1602 I2C 캐릭터 LCD 사용하기,https://blog.naver.com/elepartsblog?Redirect=Log&logNo=221583231746,한권으로 끝내는 파이썬 - 독학으로 Python 프로그램 코딩 공부하기,https://blog.naver.com/since201109?Redirect=Log&logNo=221553965961,파이썬 인강 :: 독학을 위한 최선의 선택,https://blog.naver.com/cdh0584?Redirect=Log&logNo=221790305394,[Python] 파이썬으로 와슨 AI 이용해보기,http://mcchae.egloos.com/11336272
파이썬 - turtle모듈로 정3각형 그리기,https://happynut.blog.me/221795110808,파이썬 아나콘다 설치하기 - Jupyter (쥬피터) 실행하기,https://blog.naver.com/roboholic84?Redirect=Log&logNo=221626686511,부산파이썬학원 :: KG아이티뱅크 비전공자 1달 단기교육 할인 안내,https://blog.naver.com/gourt1?Redirect=Log&logNo=221787823881,"직장인이라면 꼭 알아야 할 기술, 업무자동화 (엑셀/VBA/파이썬)",http://blog.fastcampus.co.kr/221659851273,파이썬 인강 ☞ 데이터 분석을 위한 프로그램 통계분석 데이터 기초 과정 강좌,https://blog.naver.com/beta700?Redirect=Log&logNo=221788408728,쥬피터노트북에서 파이썬파일(.py)으로 저장하기,https://kiddwannabe.blog.me/221794046294,파이썬 인공지능등 소프트웨어 무료 독학 사이트들,http://motherscat.com/221773631808,"[대구 파이썬] 파이썬 기초, 데이터형과 캐스팅이란? (int, str, bool)",https://blog.naver.com/nasu0210?Redirect=Log&logNo=221781778209,파이썬 학원 - 프로젝트 과정 커리큘럼 머신러닝/웹 서버 구축,https://blog.naver.com/urmyver?Redirect=Log&logNo=221685347188,Visual Studio Code에서 파이썬 (python) 디버깅(debug) 하기... #4,https://blog.naver.com/stonefly2001?Redirect=Log&logNo=221726597995
파이썬으로 윈도우 어플리케이션 만들기(1) : Tkinter 기본 사용법,https://cosmosjs.blog.me/221714537783,겨울방학 코딩기초 교육 파이썬 C언어 자바 이제 끝내자!,http://blog.kgitbank.co.kr/221746700521,파이썬 머신러닝 판다스 데이터 분석,https://blog.naver.com/infopub?Redirect=Log&logNo=221558373841,파이썬독학 집에서 쉽게 하자,https://blog.naver.com/thebenzecl?Redirect=Log&logNo=221719803959,"프로그래밍학원 (JAVA, C, 파이썬) 선택 시 확인해야 할 점!",https://blog.naver.com/ridesafe?Redirect=Log&logNo=221738859516,파이썬 함수와 변수 이해하기,https://blog.naver.com/answerbook?Redirect=Log&logNo=221793550117,[패.만.수] 쉬는 날 취미로 코딩하는 개발자요? 저는 아니에요 - 파이썬 웹 개발 올인원 패키지 수강생 K,http://blog.fastcampus.co.kr/221688361058,파이썬 ☞ Python 초보자 특별강좌 기초 개념부터 배우기,https://blog.naver.com/beta700?Redirect=Log&logNo=221715118460,"라즈베리파이(Raspberrypi) 파이썬(Python)으로 게임패드, 조이스틱(GamePad, Joystick) 사용하기 #1",https://blog.naver.com/chandong83?Redirect=Log&logNo=221691215711,왕초보자를 위한 파이썬: 통계(1) -numpy의 average로 평균 구하기,https://blog.naver.com/cni1577?Redirect=Log&logNo=221720786330
IT보안에서 파이썬 프로그램을 해야 하는 이유,https://chogar.blog.me/221772707253,"*대구파이썬* 처음 시작하는 텍스트 코딩, 파이썬으로 친해지기!",https://blog.naver.com/nasu0210?Redirect=Log&logNo=221765870729,Visual Studio Code(VSCode)에서 파이썬(Python) 코딩할 때 실시간(realtime)으로 결과와 변수를 볼 수 있는 Extension 인 AREPL...,https://blog.naver.com/stonefly2001?Redirect=Log&logNo=221746354422,파이썬강의 어디서 기초 배울지 고민되신다면?,https://blog.naver.com/gourt1?Redirect=Log&logNo=221778587402,유튜브 영상/자막 다운로드 하기 by 파이썬 pytube,https://kiddwannabe.blog.me/221790727905,파이썬독학 인강으로 쉽게 배우자,https://blog.naver.com/thebenzecl?Redirect=Log&logNo=221673621408,파이썬 기초 공부 왜 해야 할까?,https://blog.naver.com/hjchoi1500?Redirect=Log&logNo=221794870059,"[python]파이썬/그래픽/turtle(터틀)/게임/거북이 대포/3_1 거북이 날리기, 키바인딩, onkeypress, space",https://blog.naver.com/scyan2011?Redirect=Log&logNo=221793292427,[Python] 파이썬 로컬 컴퓨터 IP 알아내기,https://dsz08082.blog.me/221792566684,"국비지원 파이썬학원, 비전공자가 IT실무기술을 배워 중견기업으로 취업하다!",https://blog.naver.com/job_story1?Redirect=Log&logNo=221758593706
파이썬 하는 마케터 정희석 강사! 패스트캠퍼스 머신러닝과 데이터 분석 올인원 패키지 Online.,http://blog.fastcampus.co.kr/221658177568,OpenCV 마커 인식(Marker Recognition) 이미지 파일에서 인식 - 파이썬(Python),https://blog.naver.com/chandong83?Redirect=Log&logNo=221705318790,파이썬을 이용한 음성인식 - Speech Recognition,https://cosmosjs.blog.me/221720733555,"파이썬 print 함수를 이용한 코딩으로 ""Hello PC"" 출력하기",https://blog.naver.com/answerbook?Redirect=Log&logNo=221793554392,"(옥길헤리움타운, 부천)  파이썬 프로그램 입문에서 탈출하자!!",https://chogar.blog.me/221793341023,파이썬에서 import를 함수 안에서 하면 좋을까???,https://blog.naver.com/stonefly2001?Redirect=Log&logNo=221741335124,라즈베리 파이 - 파이썬 IDLE 설치법!,https://blog.naver.com/icbanq?Redirect=Log&logNo=221787362981,4의 배수 알고리즘을 파이썬으로 구현해보기(안산지점-근T),https://blog.naver.com/youngayo1?Redirect=Log&logNo=221750456984,파이썬 서버 구축 프레임워크 플라스크 (Flask) 사용법 - 서버 구축,https://blog.naver.com/qbxlvnf11?Redirect=Log&logNo=221776134219,[Python] 윤성우의 열혈 파이썬 중급편 (1),https://horajjan.blog.me/221783912768
